CMDLINE /usr/bin/python3 shell_sort.py
MEM 12.917969 1632149690.7718
MEM 12.453125 1632149690.7720
MEM 11.703125 1632149690.7721
MEM 11.203125 1632149690.7723
MEM 10.703125 1632149690.7724
MEM 10.453125 1632149690.7725
MEM 10.453125 1632149690.7726
MEM 10.453125 1632149690.7727
MEM 10.453125 1632149690.7729
MEM 10.453125 1632149690.7730
MEM 10.453125 1632149690.7732
MEM 10.453125 1632149690.7733
MEM 10.453125 1632149690.7735
MEM 10.453125 1632149690.7736
MEM 10.453125 1632149690.7737
MEM 10.453125 1632149690.7738
MEM 10.453125 1632149690.7740
MEM 10.691406 1632149690.7741
MEM 10.691406 1632149690.7742
MEM 10.691406 1632149690.7744
MEM 10.691406 1632149690.7745
MEM 10.691406 1632149690.7748
MEM 10.691406 1632149690.7749
MEM 10.691406 1632149690.7750
MEM 10.691406 1632149690.7751
MEM 10.691406 1632149690.7752
MEM 10.691406 1632149690.7754
MEM 10.691406 1632149690.7755
MEM 10.691406 1632149690.7756
MEM 10.691406 1632149690.7757
MEM 10.691406 1632149690.7758
MEM 10.691406 1632149690.7760
MEM 10.691406 1632149690.7761
MEM 10.691406 1632149690.7762
MEM 10.691406 1632149690.7763
MEM 10.691406 1632149690.7764
MEM 10.691406 1632149690.7766
MEM 10.691406 1632149690.7767
MEM 10.691406 1632149690.7768
MEM 10.691406 1632149690.7769
MEM 10.691406 1632149690.7770
MEM 10.691406 1632149690.7772
MEM 10.691406 1632149690.7773
MEM 10.691406 1632149690.7774
MEM 10.691406 1632149690.7775
MEM 10.691406 1632149690.7776
MEM 10.945312 1632149690.7778
MEM 11.132812 1632149690.7780
MEM 11.132812 1632149690.7781
MEM 11.132812 1632149690.7783
MEM 11.132812 1632149690.7784
MEM 11.132812 1632149690.7785
MEM 11.132812 1632149690.7786
MEM 11.132812 1632149690.7787
MEM 11.132812 1632149690.7789
MEM 11.132812 1632149690.7790
MEM 11.132812 1632149690.7791
MEM 11.132812 1632149690.7792
MEM 11.132812 1632149690.7793
MEM 11.132812 1632149690.7795
MEM 11.132812 1632149690.7796
MEM 11.132812 1632149690.7797
MEM 11.132812 1632149690.7798
MEM 11.132812 1632149690.7800
MEM 11.132812 1632149690.7801
MEM 11.132812 1632149690.7802
MEM 11.132812 1632149690.7803
MEM 11.132812 1632149690.7805
MEM 11.132812 1632149690.7806
MEM 11.132812 1632149690.7808
MEM 11.382812 1632149690.7809
MEM 11.382812 1632149690.7810
MEM 11.382812 1632149690.7811
MEM 11.382812 1632149690.7812
MEM 11.382812 1632149690.7812
MEM 11.382812 1632149690.7813
MEM 11.382812 1632149690.7814
MEM 11.382812 1632149690.7815
MEM 11.382812 1632149690.7816
MEM 11.382812 1632149690.7817
MEM 11.382812 1632149690.7818
MEM 11.382812 1632149690.7819
MEM 11.382812 1632149690.7820
MEM 11.941406 1632149690.7821
MEM 11.941406 1632149690.7822
MEM 11.941406 1632149690.7823
MEM 12.648438 1632149690.7824
MEM 12.648438 1632149690.7825
MEM 12.898438 1632149690.7825
MEM 12.898438 1632149690.7826
MEM 12.898438 1632149690.7827
MEM 12.898438 1632149690.7828
MEM 12.898438 1632149690.7829
MEM 12.898438 1632149690.7830
MEM 12.898438 1632149690.7831
MEM 12.898438 1632149690.7832
MEM 12.898438 1632149690.7833
MEM 12.898438 1632149690.7834
MEM 12.898438 1632149690.7835
MEM 12.898438 1632149690.7836
MEM 12.898438 1632149690.7837
MEM 12.898438 1632149690.7837
MEM 12.898438 1632149690.7838
MEM 12.898438 1632149690.7840
MEM 12.898438 1632149690.7841
MEM 12.898438 1632149690.7842
MEM 12.898438 1632149690.7844
MEM 12.898438 1632149690.7845
MEM 12.898438 1632149690.7846
MEM 12.898438 1632149690.7847
MEM 12.898438 1632149690.7848
MEM 13.195312 1632149690.7850
MEM 13.195312 1632149690.7851
MEM 13.195312 1632149690.7852
MEM 13.195312 1632149690.7853
MEM 13.195312 1632149690.7855
MEM 13.195312 1632149690.7856
MEM 13.195312 1632149690.7857
MEM 13.195312 1632149690.7858
MEM 13.195312 1632149690.7860
MEM 13.195312 1632149690.7861
MEM 13.843750 1632149690.7862
MEM 13.843750 1632149690.7863
MEM 14.101562 1632149690.7864
MEM 14.101562 1632149690.7866
MEM 13.945312 1632149690.7867
MEM 13.945312 1632149690.7868
MEM 13.945312 1632149690.7869
MEM 13.945312 1632149690.7870
MEM 13.945312 1632149690.7872
MEM 13.945312 1632149690.7873
MEM 13.945312 1632149690.7874
MEM 13.945312 1632149690.7875
MEM 13.945312 1632149690.7876
MEM 14.074219 1632149690.7878
MEM 14.074219 1632149690.7879
MEM 14.074219 1632149690.7880
MEM 14.074219 1632149690.7881
MEM 14.074219 1632149690.7883
MEM 14.074219 1632149690.7884
MEM 14.144531 1632149690.7885
MEM 14.144531 1632149690.7886
MEM 14.144531 1632149690.7888
MEM 14.144531 1632149690.7889
MEM 14.144531 1632149690.7890
MEM 14.144531 1632149690.7891
MEM 14.144531 1632149690.7892
MEM 14.144531 1632149690.7893
MEM 14.144531 1632149690.7895
MEM 14.144531 1632149690.7896
MEM 14.144531 1632149690.7898
MEM 14.144531 1632149690.7899
MEM 14.144531 1632149690.7900
MEM 14.144531 1632149690.7901
MEM 14.398438 1632149690.7902
MEM 14.398438 1632149690.7903
MEM 14.656250 1632149690.7904
MEM 14.656250 1632149690.7906
MEM 14.656250 1632149690.7907
MEM 14.914062 1632149690.7908
MEM 14.914062 1632149690.7909
MEM 14.746094 1632149690.7910
MEM 14.746094 1632149690.7911
MEM 14.746094 1632149690.7912
MEM 14.746094 1632149690.7914
MEM 14.746094 1632149690.7915
MEM 14.746094 1632149690.7916
MEM 14.746094 1632149690.7917
MEM 14.746094 1632149690.7918
MEM 14.746094 1632149690.7920
MEM 14.746094 1632149690.7921
MEM 14.777344 1632149690.7922
MEM 14.777344 1632149690.7923
MEM 14.777344 1632149690.7925
MEM 14.777344 1632149690.7926
MEM 14.777344 1632149690.7927
MEM 14.796875 1632149690.7928
MEM 14.796875 1632149690.7929
MEM 14.796875 1632149690.7930
MEM 14.796875 1632149690.7932
MEM 14.796875 1632149690.7933
MEM 14.796875 1632149690.7934
MEM 14.796875 1632149690.7935
MEM 14.796875 1632149690.7936
MEM 14.796875 1632149690.7938
MEM 14.796875 1632149690.7939
MEM 14.796875 1632149690.7940
MEM 14.796875 1632149690.7941
MEM 14.796875 1632149690.7942
MEM 14.796875 1632149690.7943
MEM 14.796875 1632149690.7945
MEM 14.796875 1632149690.7946
MEM 14.796875 1632149690.7947
MEM 14.796875 1632149690.7948
MEM 14.796875 1632149690.7949
MEM 14.796875 1632149690.7951
MEM 14.796875 1632149690.7952
MEM 14.796875 1632149690.7953
MEM 14.796875 1632149690.7954
MEM 14.796875 1632149690.7955
MEM 15.089844 1632149690.7956
MEM 15.089844 1632149690.7957
MEM 15.347656 1632149690.7958
MEM 15.347656 1632149690.7959
MEM 15.347656 1632149690.7961
MEM 15.347656 1632149690.7962
MEM 15.347656 1632149690.7963
MEM 15.347656 1632149690.7964
MEM 15.347656 1632149690.7965
MEM 15.347656 1632149690.7966
MEM 15.347656 1632149690.7968
MEM 15.347656 1632149690.7969
MEM 15.347656 1632149690.7970
MEM 15.347656 1632149690.7971
MEM 15.347656 1632149690.7973
MEM 15.347656 1632149690.7974
MEM 15.347656 1632149690.7975
MEM 15.347656 1632149690.7976
MEM 15.347656 1632149690.7978
MEM 15.347656 1632149690.7979
MEM 15.347656 1632149690.7980
MEM 15.347656 1632149690.7981
MEM 15.347656 1632149690.7983
MEM 15.347656 1632149690.7984
MEM 15.347656 1632149690.7985
MEM 15.347656 1632149690.7986
MEM 15.347656 1632149690.7988
MEM 15.347656 1632149690.7989
MEM 15.347656 1632149690.7990
MEM 15.347656 1632149690.7992
MEM 15.347656 1632149690.7993
MEM 15.347656 1632149690.7995
MEM 15.347656 1632149690.7996
MEM 15.347656 1632149690.7997
MEM 15.347656 1632149690.7998
MEM 15.347656 1632149690.7999
MEM 15.347656 1632149690.8001
MEM 15.347656 1632149690.8002
MEM 15.347656 1632149690.8003
MEM 15.347656 1632149690.8004
MEM 15.347656 1632149690.8005
MEM 15.347656 1632149690.8006
MEM 15.347656 1632149690.8007
MEM 15.347656 1632149690.8009
MEM 15.347656 1632149690.8010
MEM 15.347656 1632149690.8011
MEM 15.347656 1632149690.8012
MEM 15.347656 1632149690.8013
MEM 15.347656 1632149690.8015
MEM 15.347656 1632149690.8016
MEM 15.347656 1632149690.8017
MEM 15.347656 1632149690.8018
MEM 15.347656 1632149690.8019
MEM 15.347656 1632149690.8020
MEM 15.347656 1632149690.8021
MEM 15.347656 1632149690.8022
MEM 15.347656 1632149690.8023
MEM 15.347656 1632149690.8024
MEM 15.601562 1632149690.8026
MEM 15.601562 1632149690.8027
MEM 15.859375 1632149690.8028
MEM 15.859375 1632149690.8029
MEM 16.117188 1632149690.8030
MEM 16.117188 1632149690.8031
MEM 16.117188 1632149690.8032
MEM 16.117188 1632149690.8033
MEM 16.117188 1632149690.8035
MEM 16.070312 1632149690.8036
MEM 16.070312 1632149690.8037
MEM 16.070312 1632149690.8038
MEM 16.070312 1632149690.8039
MEM 16.070312 1632149690.8040
MEM 16.070312 1632149690.8042
MEM 16.070312 1632149690.8043
MEM 16.070312 1632149690.8044
MEM 16.070312 1632149690.8046
MEM 16.070312 1632149690.8047
MEM 16.070312 1632149690.8048
MEM 16.070312 1632149690.8049
MEM 16.070312 1632149690.8050
MEM 16.070312 1632149690.8051
MEM 16.070312 1632149690.8052
MEM 16.070312 1632149690.8054
MEM 16.070312 1632149690.8055
MEM 16.070312 1632149690.8056
MEM 16.070312 1632149690.8058
MEM 16.070312 1632149690.8059
MEM 16.070312 1632149690.8060
MEM 16.070312 1632149690.8061
MEM 16.070312 1632149690.8062
MEM 16.070312 1632149690.8064
MEM 16.070312 1632149690.8065
MEM 16.070312 1632149690.8066
MEM 16.070312 1632149690.8067
MEM 16.070312 1632149690.8068
MEM 16.070312 1632149690.8069
MEM 16.070312 1632149690.8071
MEM 16.070312 1632149690.8072
MEM 16.070312 1632149690.8073
MEM 16.070312 1632149690.8074
MEM 16.070312 1632149690.8075
MEM 16.070312 1632149690.8076
MEM 16.070312 1632149690.8077
MEM 16.070312 1632149690.8078
MEM 16.070312 1632149690.8079
MEM 16.070312 1632149690.8081
MEM 16.070312 1632149690.8082
MEM 16.070312 1632149690.8083
MEM 16.070312 1632149690.8084
MEM 16.070312 1632149690.8085
MEM 16.070312 1632149690.8086
MEM 16.070312 1632149690.8088
MEM 16.070312 1632149690.8089
MEM 16.070312 1632149690.8090
MEM 16.070312 1632149690.8091
MEM 16.070312 1632149690.8092
MEM 16.070312 1632149690.8094
MEM 16.070312 1632149690.8095
MEM 16.070312 1632149690.8096
MEM 16.070312 1632149690.8097
MEM 16.070312 1632149690.8098
MEM 16.070312 1632149690.8099
MEM 16.070312 1632149690.8100
MEM 16.070312 1632149690.8101
MEM 16.070312 1632149690.8103
MEM 16.070312 1632149690.8104
MEM 16.070312 1632149690.8105
MEM 16.070312 1632149690.8106
MEM 16.070312 1632149690.8107
MEM 16.070312 1632149690.8108
MEM 16.375000 1632149690.8109
MEM 16.375000 1632149690.8110
MEM 16.375000 1632149690.8112
MEM 16.375000 1632149690.8113
MEM 16.375000 1632149690.8114
MEM 16.375000 1632149690.8115
MEM 16.632812 1632149690.8116
MEM 16.632812 1632149690.8117
MEM 16.890625 1632149690.8118
MEM 16.890625 1632149690.8119
MEM 16.890625 1632149690.8120
MEM 17.148438 1632149690.8121
MEM 17.148438 1632149690.8123
MEM 17.406250 1632149690.8124
MEM 17.406250 1632149690.8125
MEM 17.406250 1632149690.8126
MEM 17.406250 1632149690.8127
MEM 17.406250 1632149690.8128
MEM 17.406250 1632149690.8130
MEM 17.421875 1632149690.8131
MEM 16.921875 1632149690.8132
MEM 16.921875 1632149690.8133
MEM 16.921875 1632149690.8134
MEM 16.921875 1632149690.8135
MEM 16.921875 1632149690.8136
MEM 16.921875 1632149690.8137
MEM 16.921875 1632149690.8139
MEM 16.921875 1632149690.8140
MEM 16.921875 1632149690.8141
MEM 16.921875 1632149690.8142
MEM 16.921875 1632149690.8143
MEM 16.921875 1632149690.8145
MEM 16.921875 1632149690.8146
MEM 16.921875 1632149690.8147
MEM 16.921875 1632149690.8148
MEM 16.921875 1632149690.8149
MEM 16.921875 1632149690.8151
MEM 16.921875 1632149690.8152
MEM 16.921875 1632149690.8153
MEM 16.921875 1632149690.8154
MEM 16.921875 1632149690.8155
MEM 16.921875 1632149690.8156
MEM 16.921875 1632149690.8157
MEM 16.921875 1632149690.8158
MEM 16.921875 1632149690.8160
MEM 16.921875 1632149690.8161
MEM 16.921875 1632149690.8162
MEM 16.921875 1632149690.8164
MEM 16.921875 1632149690.8165
MEM 16.921875 1632149690.8166
MEM 16.921875 1632149690.8167
MEM 16.921875 1632149690.8168
MEM 16.921875 1632149690.8169
MEM 16.921875 1632149690.8170
MEM 16.921875 1632149690.8171
MEM 16.921875 1632149690.8172
MEM 16.921875 1632149690.8173
MEM 16.921875 1632149690.8174
MEM 16.921875 1632149690.8175
MEM 17.175781 1632149690.8176
MEM 17.175781 1632149690.8178
MEM 17.175781 1632149690.8179
MEM 17.433594 1632149690.8180
MEM 17.433594 1632149690.8181
MEM 17.433594 1632149690.8182
MEM 17.433594 1632149690.8183
MEM 17.433594 1632149690.8185
MEM 17.433594 1632149690.8186
MEM 17.343750 1632149690.8187
MEM 17.343750 1632149690.8188
MEM 17.343750 1632149690.8189
MEM 17.343750 1632149690.8190
MEM 17.343750 1632149690.8191
MEM 17.343750 1632149690.8192
MEM 17.343750 1632149690.8194
MEM 17.343750 1632149690.8195
MEM 17.343750 1632149690.8196
MEM 17.343750 1632149690.8197
MEM 17.343750 1632149690.8198
MEM 17.343750 1632149690.8200
MEM 17.343750 1632149690.8201
MEM 17.343750 1632149690.8202
MEM 17.343750 1632149690.8203
MEM 17.343750 1632149690.8204
MEM 17.343750 1632149690.8205
MEM 17.343750 1632149690.8207
MEM 17.343750 1632149690.8208
MEM 17.343750 1632149690.8209
MEM 17.343750 1632149690.8210
MEM 17.343750 1632149690.8211
MEM 17.343750 1632149690.8212
MEM 17.343750 1632149690.8213
MEM 17.343750 1632149690.8214
MEM 17.343750 1632149690.8215
MEM 17.343750 1632149690.8216
MEM 17.343750 1632149690.8218
MEM 17.343750 1632149690.8219
MEM 17.597656 1632149690.8220
MEM 17.597656 1632149690.8221
MEM 17.597656 1632149690.8223
MEM 17.855469 1632149690.8224
MEM 17.855469 1632149690.8225
MEM 18.113281 1632149690.8226
MEM 18.113281 1632149690.8227
MEM 18.113281 1632149690.8228
MEM 18.371094 1632149690.8229
MEM 18.371094 1632149690.8230
MEM 18.371094 1632149690.8231
MEM 18.371094 1632149690.8233
MEM 18.371094 1632149690.8234
MEM 18.371094 1632149690.8235
MEM 18.371094 1632149690.8236
MEM 18.402344 1632149690.8237
MEM 18.152344 1632149690.8238
MEM 17.902344 1632149690.8239
MEM 17.902344 1632149690.8240
MEM 17.902344 1632149690.8241
MEM 17.902344 1632149690.8243
MEM 17.902344 1632149690.8244
MEM 17.902344 1632149690.8245
MEM 17.902344 1632149690.8246
MEM 17.902344 1632149690.8247
MEM 17.902344 1632149690.8248
MEM 17.902344 1632149690.8249
MEM 17.902344 1632149690.8251
MEM 17.902344 1632149690.8252
MEM 17.902344 1632149690.8253
MEM 17.902344 1632149690.8254
MEM 17.902344 1632149690.8256
MEM 17.902344 1632149690.8257
MEM 17.902344 1632149690.8258
MEM 17.902344 1632149690.8259
MEM 17.902344 1632149690.8260
MEM 17.902344 1632149690.8261
MEM 17.902344 1632149690.8262
MEM 17.902344 1632149690.8263
MEM 17.902344 1632149690.8264
MEM 17.902344 1632149690.8265
MEM 17.902344 1632149690.8267
MEM 17.902344 1632149690.8268
MEM 17.902344 1632149690.8269
MEM 17.902344 1632149690.8270
MEM 17.902344 1632149690.8271
MEM 17.902344 1632149690.8272
MEM 17.902344 1632149690.8274
MEM 17.902344 1632149690.8275
MEM 17.902344 1632149690.8276
MEM 17.902344 1632149690.8277
MEM 17.902344 1632149690.8278
MEM 17.902344 1632149690.8279
MEM 17.902344 1632149690.8280
MEM 17.902344 1632149690.8281
MEM 17.902344 1632149690.8283
MEM 17.902344 1632149690.8284
MEM 17.902344 1632149690.8285
MEM 17.902344 1632149690.8286
MEM 17.902344 1632149690.8287
MEM 17.902344 1632149690.8288
MEM 17.902344 1632149690.8289
MEM 17.902344 1632149690.8290
MEM 17.902344 1632149690.8292
MEM 17.902344 1632149690.8293
MEM 17.902344 1632149690.8294
MEM 17.902344 1632149690.8295
MEM 17.902344 1632149690.8296
MEM 17.902344 1632149690.8298
MEM 17.902344 1632149690.8299
MEM 17.902344 1632149690.8300
MEM 17.902344 1632149690.8301
MEM 17.902344 1632149690.8302
MEM 17.902344 1632149690.8303
MEM 17.902344 1632149690.8304
MEM 17.902344 1632149690.8306
MEM 17.902344 1632149690.8307
MEM 17.902344 1632149690.8308
MEM 17.902344 1632149690.8309
MEM 17.902344 1632149690.8310
MEM 17.902344 1632149690.8312
MEM 17.902344 1632149690.8313
MEM 17.902344 1632149690.8314
MEM 17.902344 1632149690.8315
MEM 17.902344 1632149690.8316
MEM 17.902344 1632149690.8318
MEM 17.902344 1632149690.8319
MEM 17.902344 1632149690.8320
MEM 17.902344 1632149690.8321
MEM 17.902344 1632149690.8322
MEM 17.902344 1632149690.8323
MEM 17.902344 1632149690.8324
MEM 17.902344 1632149690.8325
MEM 17.902344 1632149690.8327
MEM 17.902344 1632149690.8328
MEM 17.902344 1632149690.8329
MEM 17.902344 1632149690.8330
MEM 17.902344 1632149690.8331
MEM 17.902344 1632149690.8333
MEM 17.902344 1632149690.8334
MEM 17.902344 1632149690.8335
MEM 17.902344 1632149690.8337
MEM 17.902344 1632149690.8338
MEM 17.902344 1632149690.8339
MEM 17.902344 1632149690.8341
MEM 17.902344 1632149690.8342
MEM 17.902344 1632149690.8343
MEM 17.902344 1632149690.8344
MEM 17.902344 1632149690.8346
MEM 17.902344 1632149690.8347
MEM 17.902344 1632149690.8348
MEM 17.902344 1632149690.8349
MEM 17.902344 1632149690.8351
MEM 17.902344 1632149690.8352
MEM 17.902344 1632149690.8353
MEM 17.902344 1632149690.8354
MEM 17.902344 1632149690.8355
MEM 17.902344 1632149690.8356
MEM 17.902344 1632149690.8358
MEM 18.054688 1632149690.8359
MEM 18.144531 1632149690.8360
MEM 18.144531 1632149690.8361
MEM 18.257812 1632149690.8363
MEM 18.269531 1632149690.8364
MEM 18.269531 1632149690.8365
MEM 18.269531 1632149690.8366
MEM 18.269531 1632149690.8368
MEM 18.269531 1632149690.8370
MEM 18.281250 1632149690.8372
MEM 18.312500 1632149690.8374
MEM 18.312500 1632149690.8375
MEM 18.312500 1632149690.8377
MEM 18.312500 1632149690.8379
MEM 18.312500 1632149690.8381
MEM 18.312500 1632149690.8383
MEM 18.312500 1632149690.8384
MEM 18.312500 1632149690.8386
MEM 18.312500 1632149690.8387
MEM 18.312500 1632149690.8389
MEM 18.312500 1632149690.8390
MEM 18.312500 1632149690.8392
MEM 18.312500 1632149690.8393
MEM 18.312500 1632149690.8394
MEM 18.312500 1632149690.8396
MEM 18.312500 1632149690.8397
MEM 18.312500 1632149690.8399
MEM 18.312500 1632149690.8401
MEM 18.312500 1632149690.8402
MEM 18.312500 1632149690.8403
MEM 18.312500 1632149690.8405
MEM 18.312500 1632149690.8406
MEM 18.312500 1632149690.8407
MEM 18.312500 1632149690.8409
MEM 18.312500 1632149690.8410
MEM 18.312500 1632149690.8411
MEM 18.312500 1632149690.8414
MEM 18.312500 1632149690.8416
MEM 18.312500 1632149690.8417
MEM 18.312500 1632149690.8419
MEM 18.312500 1632149690.8420
MEM 18.312500 1632149690.8421
MEM 18.312500 1632149690.8422
MEM 18.312500 1632149690.8424
MEM 18.312500 1632149690.8425
MEM 18.312500 1632149690.8426
MEM 18.312500 1632149690.8427
MEM 18.312500 1632149690.8428
MEM 18.312500 1632149690.8430
MEM 18.312500 1632149690.8431
MEM 18.312500 1632149690.8432
MEM 18.312500 1632149690.8433
MEM 18.312500 1632149690.8434
MEM 18.312500 1632149690.8436
MEM 18.312500 1632149690.8437
MEM 18.312500 1632149690.8438
MEM 18.312500 1632149690.8439
MEM 18.312500 1632149690.8440
MEM 18.312500 1632149690.8442
MEM 18.312500 1632149690.8444
MEM 18.312500 1632149690.8445
MEM 18.312500 1632149690.8446
MEM 18.312500 1632149690.8447
MEM 18.312500 1632149690.8448
MEM 18.312500 1632149690.8450
MEM 18.312500 1632149690.8451
MEM 18.312500 1632149690.8452
MEM 18.312500 1632149690.8453
MEM 18.312500 1632149690.8455
MEM 18.312500 1632149690.8456
MEM 18.312500 1632149690.8457
MEM 18.312500 1632149690.8458
MEM 18.312500 1632149690.8460
MEM 18.312500 1632149690.8460
MEM 18.312500 1632149690.8461
MEM 18.312500 1632149690.8462
MEM 18.312500 1632149690.8463
MEM 18.312500 1632149690.8464
MEM 18.312500 1632149690.8465
MEM 18.312500 1632149690.8466
MEM 18.988281 1632149690.8467
MEM 18.910156 1632149690.8468
MEM 18.910156 1632149690.8469
MEM 18.910156 1632149690.8470
MEM 18.910156 1632149690.8471
MEM 18.910156 1632149690.8472
MEM 18.910156 1632149690.8473
